,rank,singer,title,url,album,genre,lang,views,lyrics
401,402,Tokio Hotel,Monsoon,https://www.letras.com/tokio-hotel/825814/,Scream,rock-roll,en,397555.0,"I'm staring at a broken door There's nothing left here anymore My room is cold, it's making me insane I've been waiting here so long But now the moment seems to've come I see the dark clouds coming up again Running through the monsoon, beyond the world To the end of time, where the rain won't hurt Fighting the storm into the blue And when I lose myself, I think of you Together we'll be running somewhere new Through the monsoon Just me and you A half-Moon's fading from my sight I see your vision in its light But now it's gone and left me so alone I know I have to find you now Can hear your name, I don't know how (I don't know how) Why can't we make this darkness feel like home? Running through the monsoon, beyond the world To the end of time, where the rain won't hurt Fighting the storm into the blue And when I lose myself, I think of you Together we'll be running somewhere new And nothing can hold me back from you Through the monsoon Hey (ooh-ooh) Hey (ooh-ooh) I'm fighting, all its power coming in my way Let it take me straight to you, I'll be running night and day I'll be with you soon Just me and you We'll be there soon So soon Running through the monsoon, beyond the world To the end of time, where the rain won't hurt Fighting the storm into the blue And when I lose myself, I think of you Together we'll be running somewhere new And nothing can hold me back from you Through the monsoon Through the monsoon (ooh-ooh) Just me and you (ooh-ooh) Through the monsoon (ooh-ooh) Just me and you"
402,403,Adele,Hello,https://www.letras.com/adele/hello/,Hello,soul,en,2416231.0,"Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet There's such a difference between us And a million miles Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town Where nothing ever happened? It's no secret that the both of us Are running out of time So hello from the other side (other side) I must've called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore Hello from the other side (other side) I must've called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore"
403,404,Andy Rivera,Dudas De Mí,https://www.letras.com/andy-rivera/dudas-de-mi/,,reggaeton,es,204.0,"Oh-oh Yo sé que tienes muchas dudas de mí Fama de que no me dura un amor y quizás Pero te lo juro que no ha sido por mí Es que te busqué y no te encontré en las demás Yo sé que tienes muchas dudas de mí  Fama de que no me dura un amor y quizás  Pero te lo juro que no ha sido por mí  Es que te busqué y no te encontré en las demás Piensas que es labia pa' que te enrede' Te sobran ganas y aún así no te atreves, ah Y yo estoy puesto si así lo quieres  Pa' presumir que estamo' junto en las redes, yeah Antes me la pasaba rompiendo corazone' Pero eso nunca fueron mis intencione' Mi corazón estaba de vacaciones Pero cuando te vi se encendieron los motores Para hablarle bonito Tú llegaste con todo lo que necesito Si escucho una canción de amor vuelvo y la repito Como Ojitos Lindos de Benito, te la dedico Me estoy volviendo loco y yo no te toco No creas en chismes, vamos poco a poco Yo sé que tienes muchas dudas de mí Fama de que no me dura un amor y quizás Pero te lo juro que no ha sido por mí  Es que te busqué y no te encontré en las demás Piensas que es labia pa' que te enrede' Te sobran ganas y aún así no te atreves, ah Y yo estoy puesto (de ti) si así lo quieres (mami) Pa' presumir ese culito en las redes, yeah (Yo sé que tienes muchas dudas de mí) Andy rivera, mami Dímelo, hache Miky la sensa Vuelta (Pero te lo juro que no ha sido por mí) (Es que te busqué y no te encontré en las demás) (Demás)"
404,405,Miranda! ,Perfecta (part. Maria Becerra y FMK),https://www.letras.com/miranda/perfecta-part-maria-becerra-y-fmk/,Hotel Miranda!,pop,es,112.0,"Solo tú, no necesito más Te adoraría lo que dure la eternidad Debes ser perfecta para, perfecta para Perfecta para mí, mi amor Tan pronto yo te vi No pude descubrir El amor a primera vista no funciona en mí Después de amarte comprendí Que no estaría tan mal Probar tu otra mitad No me importó si arruinaríamos nuestra amistad No me importó y ya qué más da Éramos tan buenos amigos hasta hoy Que yo probé tu desempeño en el amor Me aproveché de que habíamos tomado tanto Me fuiste dejando y te agarré A pesar de saber que estaba todo mal Lo continuamos hasta juntos terminar Cuando caímos en lo que estaba pasando Te seguí besando y fue Solo tú, no necesito más Te adoraría lo que dure la eternidad Debes ser perfecta para, perfecta para Perfecta para mí, mi amor ¿Cómo fue que de papel cambié? Eras mi amiga y ahora eres mi mujer Debes ser perfectamente, exactamente Lo que yo siempre soñé Y así es cómo se nos va pasando el tiempo Siendo los protagonistas de este cuento de pasión Y nada nunca más nos separó Ay, amor Que nunca termine esto, por favor Supuestamente la primera fue culpa del alcohol La segunda y la tercera, no había de qué excusarno' Comenzamo' de a poco a aceptarlo La amistad de lado estaba quedando Y por cosas de la vida terminamo' juntándonos Yo siempre soñaba con vos Entonces el amor Nos tiene de rehén Seré tu eterna enamorada y te aseguro que Todas las noches te amaré Solo tú, no necesito más Te adoraría lo que dure la eternidad Debes ser perfecta para, perfecta para Perfecta para mí, mi amor ¿Cómo fue que de papel cambié? Eras mi amiga y ahora eres mi mujer Debes ser perfectamente, exactamente Lo que yo siempre soñé Solo tú, no necesito más Te adoraría lo que dure la eternidad Debes ser perfecta para, perfecta para Perfecta para mí, mi amor ¿Cómo fue que de papel cambié? Eras mi amiga y ahora eres mi mujer Debes ser perfectamente, exactamente Lo que yo siempre soñé Solo tú, no necesito más Te adoraría lo que dure la eternidad Debes ser perfecta para, perfecta para Perfecta para mí, mi amor"
405,406,"Tyler, The Creator",NEW MAGIC WAND,https://www.letras.com/tyler-the-creator/new-magic-wand/,IGOR,hip-hop-rap,en,112032.0,"Sometimes you gotta close a door to open a window I saw a photo, you looked joyous My eyes are green, I eat my veggies I need to get her out the picture She's really fuckin' up my frame She's not developed like we are Like magic, like magic, like magic, gone New magic, new magic, new magic wand Like magic, like magic, like magic, gone (nigga) New magic, new magic, new magic wand My brother said I'm on the spectrum Don't call me selfish, I ain't sharing This 60/40 isn't working I want 100 of your time, you're mine Please don't leave me now Please don't leave me now (don't leave) Please don't leave me now Please don't leave me now (don't leave) Please don't leave me now (don't leave) (Like magic, like magic, like magic, gone) Please don't leave me now (I can make her leave) (New magic, new magic, new magic wand) Please don't leave me now (don't leave) (Like magic, like magic, like magic, gone) Please don't leave me now (New magic, new magic, new magic wand) I wanna be found, passenger in your car You wanna be mean, mixed signals, don't park (I can make her bleed) She's gonna be dead, I just got a magic wand We can finally be together You roll the dice, hit a 7, sure you right, beginner's luck You not my first, who gives a fuck? Your other one evaporate, we celebrate You under oath, now pick a side, and if you don't I pick you both It's not a joke Murder, she wrote Ayo, take one look in the mirror, implications so clear I live life with no fear, except for the idea that one day you won't be here I will not fetch the ball, eyes are green I eat my vegetables It has nothing to do with that broad, but if it did, guarantee she'd be gone, well I got a plan, 'bout to walk in the pen If you can't understand, I'm a hawk in the gym Eyes on the prize, got weight on my chest That I need to get off, or I ain't talkin' to them Can't be in the picture if it got no frame Gon' let the world know 'cause I ain't got no shame Blow the whole spot up, 'cause I ain't– I wanna share last names, I wanna be your number one Not the other one, keep it on the low I'm in my right mind, keep it on a high Janis Joplin spillin' feelings, now I'm out here moppin' 'em Four on the floor, pack up your bags, we hit the store Grab our supplies, no need for masks, bust through the door Get the job done like retirement, I admit you look concerned New magic wand"
406,407,Cartel de Santa,Shorty Party (part. La Kelly),https://www.letras.com/cartel-de-santa/shorty-party-part-la-kelly/,,hip-hop-rap,es,1504.0,"Yo Traigo a las shorties fumando mari Y moviendo el booty con este flow Ando bien hot y vi que en tu story 'Tás en el mismo party que yo No vienes sola, tampoco yo Eres felona, yo soy felón Tú eres la chola que me reacciona Y baila mis rolas en el TikTok 'Íngale, qué buena, chíngale Andaba rimándole cuando era de mi gana'o Báilale, muévele, zúmbale, grábale Pósale con el culito para'o Bien trabaja'o, no es opera'o Yo lo he mira'o, lo he toca'o y lo he chupa'o Yo la he tenido durmiendo a mi la'o Por eso aseguro que se lo he escucha'o Como soy perro, también la he olfatea'o Como en las porno, me la he fornica'o Soy el pasado que no ha superado El maldito malvado que más la ha tosqueado Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari Pa-papi, ya súbeme la mini Me pongo muy caliente si me ves moviendo el booty, booty Pa-papi, yo sé bien lo que quieres Muchas te lo mueven y tú quieres de esta shorty, shorty Se ve que tú tienes la intención de pegarme un culeadón Y si no es en el fiestón, no No hay pex, ya miré a tu mujer Y sabes que también con las morras me prendo Saco lo maniacona cuando me pega la molly Me pongo más horny si me grabas para el Only No hay quien se resista cuando lo mueve la Kelly Mi culito natural otra vez se fue de trendy Y la que soporte, ahí me saludan a Karely Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari Su pretendiente ni la divierte Se ve en caliente que no es felón Ella es candente y vive sonriente Mientras le avienten su cogidón ¿Se mira alegre? Yo creo que no ¿Anda contenta? Yo veo que no Esa coqueta ocupa la meta Toda completa en su corazón Creo que el amigo ni se la ha cogido O es muy aburrido, porque yo la miro Y no ha sonreído por ningún motivo Desde que nos vimos cuando ella llegó Pa' las ninfómanas, soy garañón Pa' las rufianas, viejo bribón Ah, pa' las gatas, engatusador Pero, pa' ti soy, el pinche pelón Con tu bombón metido en la mente Qué buena suerte volver a toparte Sinceramente vine a decirte Yo solo quiero verte sonriente Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Y ella bien bitchy, bitchy Parando nalga y parando chichi Baila bien bitchy, bitchy Tomando molly con agua Fiji Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari Todas las shorties, shorties Andan de party en party Moviendo el booty, booty Fumando mari, mari"
407,408,Rita Lee,Lança Perfume,https://www.letras.com/rita-lee/94/,Rita Lee,rock-roll,pt,26815.0,"Lança, menina, lança todo esse perfume Desbaratina, não dá pra ficar imune Ao teu amor que tem cheiro de coisa maluca Vem cá, meu bem, me descola um carinho Eu sou neném, só sossego com beijinho Vê se me dá o prazer de ter prazer comigo Me aqueça Me vira de ponta-cabeça Me faz de gato e sapato E me deixa de quatro no ato Me enche de amor, de amor, oh Lança, menina, lança todo esse perfume Desbaratina, não dá pra ficar imune Ao teu amor que tem cheiro de coisa maluca Vem cá, meu bem, me descola um carinho Eu sou neném, só sossego com beijinho E vê se me dá o prazer de ter prazer comigo Me aqueça Me vira de ponta-cabeça Me faz de gato e sapato Ah, ah, me deixa de quatro no ato Me enche de amor, de amor, oh Lança, lança perfume Oh, lança, lança perfume Oh, lança, lança, lança perfume Lança perfume Lança, menina, lança todo esse perfume Desbaratina, não dá pra ficar imune Ao teu amor que tem cheiro de coisa maluca Vem cá, meu bem, me descola um carinho Eu sou neném, só sossego com beijinho Vê se me dá o prazer de ter prazer comigo Me aqueça Me vira de ponta-cabeça Me faz de gato e sapato E me deixa de quatro no ato Me enche de amor, de amor, oh Lança, menina, lança todo esse perfume Desbaratina, não dá pra ficar imune Ao teu amor que tem cheiro de coisa maluca Vem cá, meu bem, me descola um carinho Eu sou neném, só sossego com beijinho E vê se me dá o prazer de ter prazer comigo Me aqueça Me vira de ponta-cabeça Me faz de gato e sapato Me deixa de quatro no ato Me enche de amor, de amor, oh Lança, lança perfume Oh, lança, lança perfume Oh, lança, lança, lança perfume Lança perfume Lança perfume Oh, lança perfume, lança perfume Oh, lança, lança perfume Lança perfume Lança perfume Oh, lança perfume, lança perfume"
408,409,Tego Calderón,La Receta,https://www.letras.com/tego-calderon/la-receta/,,reggaeton,es,75.0,"E-E-Evo Jedis Ey Hazlo como lo hago yo, yo sé que tú no puede', no Mucha letra, mucha clave, mucho demasia'o de flow Los pollitos dicen pio, pio y yo me lío Esto se baila como si te fuera a hacer un hijo Pero no te ponga' de esa, que estonce' pierde la gracia Esto hay que sentirlo, chica, esto es fuego a la brasa Si estás perdía', sígueme, yo soy tu mapa Haz lo que tenga' que hacer, si no te moja', te empapa' Juega con actitud, que sufran to' los que nos miran Hablando claro, claro, nos fuimo' demasia'o po' encima A mí no me importa nadie, solo tú y yo No hace falta na', mamita, yo traje de to' Te quiero a ti, mami, na' má' Yo ni miro pa'l la'o, nah, nah Tú ere' la receta que me dio mi doctor Estoy tan activa'o que ni yo mismo me soporto Te quiero a ti, mami, na' má' Yo ni miro pa'l la'o, nah, nah Es que tú ere' la receta que me dio mi doctor Estoy tan activa'o que ni yo mismo me soporto Soy un caballo sin jinete repartiendo fuete Galopeando por la vida en busca de una que se trepe en la silla Ya tú encontraste esta que estilla Dobla, mija, que tú no come' varilla Soy adobo pa' los pollo', criollo Mientra' este vivo soy un yoyo, lo tiro, lo escojo Hago lo que me salga 'el forro, nunca he pedío' socorro Si León me pide mucho, pero yo me hago el sordo Serio con los tipo', con las gata' yo me mondo Tego Calde, gordo, el que te lo entierra 'e mongo Es pa' las yale', perdona, me fui en un viaje Torre 'e control, dame la verde pa'l aterrizaje Te quiero a ti, mami, na' má' Yo ni miro pa'l la'o, nah, nah Tú ere' la receta que me dio mi doctor Estoy tan activa'o que ni yo mismo me soporto Te quiero a ti, mami, na' má' Yo ni miro pa'l la'o, nah, nah Es que tú ere' la receta que me dio mi doctor Estoy tan activa'o que ni yo mismo me soporto, bae Hazlo como lo hago yo, yo sé que tú no puede', no Mucha letra, mucha clave, demasia'o de flow Juega con actitud, que sufran to' los que nos miran Hablando claro, claro, nos fuimo' demasia'o po' encima Te quiero a ti, mami, na' má' Yo ni miro pa'l la'o, nah, nah ¿Pa' qué vo'a mira'? Jiggiri, jiggiri Uah Te quiero a ti, mami Tú sabe' Yo ni miro pa'l la'o, ma Este es Tego Calderón Con Urba y Rome De Barrio Obrero a la escuela Hablando claro, claro, nos fuimo' demasia'o Whi-Whi, White Lion Dobla, mija, que tú no come' varilla Dobla, mija, que tú no come' varilla Dobla, mija (aguanta), que tú no come' varilla Tego Calde, gordo, el que te lo entierra 'e mongo"
409,410,Vance Joy,Riptide,https://www.letras.com/vance-joy/riptide/,God Loves You When You're Dancing - EP,folk,en,170354.0,"I was scared of dentists and the dark I was scared of pretty girls and starting conversations Oh, all my friends are turning green You're the magician's assistant in their dream Ah-ooh-ooh-ooh-ooh Ah-oh-oh-oh And they come unstuck Lady, runnin' down to the riptide Taken away to the dark side I wanna be your left hand man I love you when you're singin' that song and I gotta lump in my throat 'cause You're gonna sing the words wrong Is this movie that I think you'll like This guy decides to quit his job and head to New York City This cowboy's running from himself She's been living on the highest shelf Ah-ooh-ooh-ooh-ooh Ah-oh-oh-oh And they come unstuck Lady, runnin' down to the riptide Taken away to the dark side I wanna be your left hand man I love you when you're singin' that song and I gotta lump in my throat 'cause You're gonna sing the words wrong I just wanna, I just wanna know If you're gonna, if you're gonna stay I just gotta, I just gotta know I can't have it, I can't have it any other way I swear she's destined for the screen Closest thing to Michelle Pfeiffer that you've ever seen, oh Lady, runnin' down to the riptide Taken away to the dark side I wanna be your left hand man I love you when you're singin' that song and I gotta lump in my throat 'cause You're gonna sing the words wrong Oh, lady, runnin' down to the riptide Taken away to the dark side I wanna be your left hand man I love you when you're singin' that song and I gotta lump in my throat 'cause You're gonna sing the words wrong Oh, lady, runnin' down to the riptide Taken away to the dark side I wanna be your left hand man I love you when you're singin' that song and I gotta lump in my throat 'cause You're gonna sing the words wrong and I gotta lump in my throat 'cause You're gonna sing the words wrong"
410,411,Juan Carlos Baglietto,La Vida Es Una Moneda,https://www.letras.com/juan-carlos-baglietto/809009/,,axe,es,4467.0,"La vida es una moneda Quien la rebusca la tiene Ojo que hablo de monedas Y no de gruesos billetes Mi vida es una hoja en blanco Un piano desafinado Diez dedos largos y flacos Y un manojo de palabras Sólo se trata de vivir Esa es la historia Con la sonrisa en el ojal Con la idiotez y la locura de Todos los días A lo mejor resulta bien La gente sueña que sueña La calle sigue que sigue El taxi yira que yira El cielo y la ancha avenida Los días cantan la historia Del hombre al borde del hombre Los días cantan mañanas Los días no tienen miedo Sólo se trata de vivir Esa es la historia Con un amor, sin un amor Con la inocencia y la ternura Que florece a veces A lo mejor resulta bien Si nos inunda el asfalto De sensaciones profundas Gocemos bien nuestro ahogo Que es nuestra imagen fecunda La vida es una moneda Quien la rebusca la tiene Ojo que hablo de monedas Y no de gruesos billetes Sólo se trata de vivir Esa es la historia Con un amor, sin un amor Con la inocencia y la ternura Que florece a veces A lo mejor resulta bien Sólo se trata de vivir Esa es la historia Con la sonrisa en el ojal Con la idiotez y la locura de Todos los días A lo mejor resulta bien"
411,412,Chuy Montana,Porte de ScarFace,https://www.letras.com/chuy-montana/porte-de-scarface/,,regional,es,105.0,"Y así nomás, viejo Puro Chuy Montana ¡Cha-chaú! Porte de ScarFace, me voy para L.A Haciendo billetes por todo U.S.A Parezco Tony Montana por el brillo y las cubanas Prendo lumbre al gallo, tres días enfiestado Quiero unas nenas que estén bien buenas Para pasar un buen rato Tres botellas, yo pedí, y, pa' el privado, me fui Disculpa si no contesto, no puedo atenderte aquí Esa morra me está viendo, quiere y no creo que consejos La vo'a llevar a disfrutar al mejor lugar Y así suena la Marca Sin Cadena, viejo Y arriba el Street Mob Y ahora me ven, ando muy bien Morras al cien, tiran DM, pero yo ni les contestos Y eso es muy cierto, un pase y ando alerto Botellas para el centro, porque este mundo es muy incierto (Fuck it) Porte de ScarFace, me voy para L.A Haciendo billetes por todo U.S.A Parezco Tony Montana por el brillo y las cubanas Prendo lumbre al gallo, tres días enfiestado Quiero unas nenas que estén bien buenas Para pasar un buen rato"
412,413,Brray,Corazón Roto (remix) (part. Jhayco y Ryan Castro),https://www.letras.com/brray/corazon-roto-remix-part-jhayco-y-ryan-castro/,,hip-hop-rap,es,128.0,"(Kapital Music) Lo rico que tú me gemías Ahora siempre que te llamo estás dormí'a Ya ni me contestas, baby, yo to' el día, sí Pensando como los locos Que si no es tu cuerpo, más ninguno toco Lo de nosotros fue fuera de lo normal, tú dime si me equivoco Y yo quisiera volver, pero es que hice tan poco No me conviene tampoco Prefiero morir con el corazón roto Pensando como los locos Que si no es tu cuerpo, más ninguno toco Lo de nosotros fue fuera de lo normal, tú dime si me equivoco Y yo quisiera volver, pero es que hice tan poco No me conviene tampoco Prefiero morir con el corazón roto La presión Baby, paga el entierro, que Si no es el culo tuyo, no lo quiero ¿Qué puñeta hago ahora los 14 de Febrero? Me tienes depresivo, Canserbero, y La mente alcohólica, moñas exóticas Te hiciste un OnlyFans y estás erótica De noche con una migraña chronic Tú me llamas y llego rápido a lo Sonic Chavos en la fanny, pero el corazón empty Veo tus fotos y siempre te ves tempting Sí, te hiciste el cuerpo y ahora te ves racing Tú aprendiste inglés, pues, bebé, te ves amazing ¿Cuándo me va' a contestar? Baby, si me cogen preso algún día, aunque sea, mándame una postal Contéstame los voice Te dediqué una canción de Prince Royce, chequea el celular Tú a mí no me quiere', ese es el puto final Te puse par de tweets, pero no es pa' manipular Y sé que una puñeta te tiene que importar, pero Pensando a lo loco Que si no es tu cuerpo, más ninguno toco Lo de nosotros fue fuera de lo normal, tú dime si me equivoco Y yo quisiera volver, pero es que hice tan poco No me conviene tampoco Prefiero morir con el corazón roto Yo creo que caímo' en la rutina La frialdad nos congeló los sentimientos Y si te sientes sola, yo estoy solo también Si tienes roto el cora', yo estoy roto también Y tú lo llamas orgullo, pero, baby, eso es amor propio Tú estás diciendo que yo tengo gatas de más, y a ninguna le copio Si nos parchábamo' a la F cuando no tenía nada, ni jefe Si otras te hablan mierda, no te dejes Yo to' los días te cantaba y hasta te mostraba mis refes Pero no nos vemos hace meses Yo quisiera volver, pero eso no nos conviene Yo que soñaba contigo viendo crecer los nenes Mi corazón quiere llamarte y mi mente me detiene Hasta la gente se burla y me ve como un meme Mi vida se inunda, pero no se ahoga De las fallas que cometí, ninguna se aboga Sentí lo que es quedarse sin la cabra y la soga Ni las drogas, ni hacer yoga Las penas me desahogan Porque, sin ti, me siento muerto en vida Desde tu partida, de ti, no tengo salida Me dicen que te han visto con la vista perdida Sin vuelta desde la ida Devuélveme el cora' pa' que otra lo pida Por si tú no vuelves má' Estoy pensando olvidarme de amar Rogándole al destino pa' que te dé con llamar Pero eso es como una carta adentro de una botella en el mar Pensando como los locos Que si no es tu cuerpo, más ninguno toco Lo de nosotros fue fuera de lo normal, tú dime si me equivoco Y yo quisiera volver, pero es que hice tan poco No me conviene tampoco Prefiero morir con el corazón roto Pero pensando a lo loco Que si no es tu cuerpo, más ninguno toco Lo de nosotros fue fuera de lo normal, tú dime si me equivoco Y yo quisiera volver, pero es que hice tan poco No me conviene tampoco Prefiero morir con el corazón roto (¿Viste, mami?) (Todavía me tiene' en sentimiento) (Qué chimba, SOG) (Tuny D, Tuny D) (Lo' verdadero' ya tú sabe', baby)"
413,414,Canciones Infantiles,"Estrellita, ¿Dónde Estás?",https://www.letras.com/canciones-para-nios/estrellita-donde-estas/,,infantil,es,5295.0,"Estrellita, ¿dónde estás? Me pregunto quién serás En el cielo o en el mar Un diamante de verdad Estrellita, ¿dónde estás? Me pregunto quién serás En el cielo o en el mar Un diamante de verdad Estrellita, ¿dónde estás? Me pregunto quién serás Estrellita, ¿dónde estás? Me pregunto quién serás En el cielo o en el mar Un diamante de verdad Estrellita, ¿dónde estás? Me pregunto quién serás"
414,415,Robleis,Tu Despedida,https://www.letras.com/robleisiutu/tu-despedida/,,hip-hop-rap,es,84.0,"'Taba pensando en ti antes de irme a dormir Aunque intente cambiarlo, las cosas son así Estoy desorientado, no sé cómo seguir Ahora que te perdí Ando vagando solo en la ciudad Tengo la necesidad de volver a verte una vez más Quisiera un día contigo, mi corazón está en lío Pa' mí, es tiempo perdido si tú no estás Que alguien me diga cómo se olvida Intenté mil veces y no se me dio Desde tu despedida, cambié mi rutina Pero haga lo que haga, siempre pienso en vos Mis amigos me preguntan to' lo' días Por qué no ando con nadie, que salga con alguien Y yo les digo que he intentado varias veces Pero ya no me sale, qué difícil se hace Un día dijiste: Llego el momento de irme, no te sientas mal Y, ahora, camino en medio de la gente y, sin ti, solo soy uno más Se dice que, si alguien se va, solo es cuestión de tiempo para superar Pero mi reloj está quieto y se ve que, por ahora, no quiere avanzar Ando vagando solo en la ciudad Tengo la necesidad de volver a verte una vez más Quisiera un día contigo, mi corazón está en lío Pa' mí, es tiempo perdido si tú no estás Que alguien me diga cómo se olvida Intenté mil veces y no se me dio Desde tu despedida, cambié mi rutina Pero haga lo que haga, siempre pienso en vos Que alguien me diga cómo se olvida Intenté mil veces y no se me dio Desde tu despedida, cambié mi rutina Pero haga lo que haga, siempre pienso en vos (Uh-oh, uh-oh) (Uh-oh-oh) (Pero haga lo que haga, siempre pienso en vos)"
415,416,Los Kjarkas,Munasqechay,https://www.letras.com/kjarkas/1088900/,,musica-andina,qu,16897.0,"Munasqechay Tuta punchay maskakunay Tarispa suscucunay Warmisitay Munasqechay Tuta punchay maskakunay Tarispa suscucunay Warmisitay Qanraykullay Ña karin viday Sonqo kullay Sipasitay Qanraykullay Ña karin viday Sonqo kullay Sipasitay Mi buen amor Mi herida de amor, mi verdad Mi credo, razón de vivir Mi lluvia de abril Mi buen amor Mi herida de amor, mi verdad Mi credo, razón de vivir Mi lluvia de abril Gracias a ti, mi triste vivir Pudo cambiar en un jardín Gracias a ti, mi triste vivir Pudo cambiar en un jardín"
416,417,CoCo,Un Poco Loco,https://www.letras.com/coco/un-poco-loco/,,eletronica,es,73534.0,"Que el cielo no es azul ¡Ay, mi amor! ¡Ay, mi amor! Que es rojo, dices tú ¡Ay, mi amor! ¡Ay, mi amor! Ves todo al revés ¡Ay, mi amor! ¡Ay, mi amor! Creo que piensas con los pies ¡Ay, mi amor! ¡Ay, mi amor! Tú me traes un poco loco Un poquiti-ti-to loco Estoy adivinando Qué quieres y pa' cuándo Y así estoy celebrando Que me he vuelto un poco loco Chiflado tú me vuelves Y eso está un poco loco Tu mente que despega Tú siempre con ideas Con mi cabeza juegas Todo es un poco loco (Todo es un poco loco) (Con mi cabeza juegas) (Todo es un poco loco) (Con mi cabeza juegas) (Todo es un poco loco) (Con mi cabeza juegas) (Todo es un poco loco) (Con mi cabeza juegas) Un poquiti-ti-ti-ti-ti-ti-ti-ti-ti-ti-ti-tito loco"
